"Year","Title","Journal","DOI"
"2026","Linear and non-linear feature selection for survival modelling of ischemic heart disease in patients with diabetes: Insights from electronic health records","Journal of Biomedical Informatics","10.1016/j.jbi.2026.105020"
"2026","WiraChain: a blockchain and FHIR-based platform for improving clinical data interoperability in healthcare","Frontiers in Public Health","10.3389/fpubh.2026.1746772"
"2026","Identifying food environment policies and research needs in Latin America and the Caribbean: insights from the Community of Practice in Nutrition and Health in Latin America and the Caribbean (COLANSA)","BMC Public Health","10.1186/s12889-026-26460-y"
"2026","Failed Implementation of Mobile Access to Electronic Health Records in Home Care: Qualitative Study in Sweden","JMIR mHealth and uHealth","10.2196/69590"
"2026","Sharing EHR data of patients with rare diseases for research - The role of quality assessments in a national federated research data infrastructure","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03153-x"
"2026","The Experience Of Electronic Medical Records Managers In Facing Health System Interoperability Challenges","Sevaka : Hasil Kegiatan Layanan Masyarakat","10.62027/sevaka.v3i4.623"
"2026","Highly pathogenic Avian Influenza (H5N1) in Latin America: Epidemiology, control strategies, and One Health implications","Letters In Animal Biology","10.62310/liab.v6i1.268"
"2026","ENHANCING TRUST IN SKIN LESION DIAGNOSIS THROUGH GRAD-CAM INTEROPERABILITY AND MEDICAL KNOWLEDGE INTEGRATION","International Journal on Cybernetics &amp; Informatics","10.5121/ijci.2026.150134"
"2026","Editorial Board","International Journal of Medical Informatics","10.1016/s1386-5056(26)00115-2"
"2026","Evaluation of large language models in nutrition risk screening: a comparative analysis across 8 LLMs based on real-world EHR datasets","BMC Medical Informatics and Decision Making","10.1186/s12911-026-03340-4"
"2026","Machine learning and artificial intelligence for delirium prediction with Electronic Health Records (EHR): a scoping review","BMC Medical Informatics and Decision Making","10.1186/s12911-026-03362-y"
"2026","Linking Electronic Health Records for Multiple Sclerosis Research: Comparative Study of Deterministic, Probabilistic, and Machine Learning Linkage Methods","JMIR Medical Informatics","10.2196/79869"
"2026","Fusión de IA, IoT y Big Data para Superar la Brecha de Interoperabilidad en Latinoamérica","Arandu UTIC","10.69639/arandu.v13i1.1937"
"2026","End-to-End Clinical Data Interoperability: A Practical Implementation Blueprint Using HL7, FHIR, CCD, and EHR Integration Standards","International Journal of Multidisciplinary and Scientific Emerging  ResearcH","10.15662/ijmserh.2026.1401004"
"2026","Editorial Board","International Journal of Medical Informatics","10.1016/s1386-5056(25)00471-x"
"2025","Elite Ideological Differentiation and Demographic-Based Voting in Latin America","Journal of Politics in Latin America","10.1177/1866802x251397952"
"2025","Correction: The Roles of Electronic Health Records for Clinical Trials in Low- and Middle-Income Countries: Scoping Review","JMIR Medical Informatics","10.2196/84394"
"2025","Digital Health Interoperability: Stakeholder Insights on Affinity Domains from the Czech Republic (Preprint)","JMIR Medical Informatics","10.2196/83894"
"2025","Physician experiences of electronic health record interoperability and its practical impact on care delivery in the English NHS: a cross-sectional survey study","BMJ Open","10.1136/bmjopen-2024-096669"
"2025","A Review on Interoperability Challenges between the Electronic Medical records System (Micro level) And the Electronic Health Record System: Ayushman Bharat Digital Mission (Macro level)","International Research Journal of Computer Science","10.26562/irjcs.2025.v1202.03"
"2025","A scoping review of electronic health records interoperability levels, expectations, approaches, and problems","Health Informatics Journal","10.1177/14604582251385986"
"2025","Introduction COVID-19 Coronavirus: Pandemic Politics in Latin America and Precarity and Health: Health as Asset, Health as Right","Latin American Perspectives","10.1177/0094582x241310447"
"2025","Semi-Supervised PARAFAC2 Decomposition for Computational Phenotyping Using Electronic Health Records","IEEE Journal of Biomedical and Health Informatics","10.1109/jbhi.2025.3530271"
"2025","Improving Electronic Health Record Navigation Skills With Electronic Health Record System On-Demand Brief Video Tutorials","CIN: Computers, Informatics, Nursing","10.1097/cin.0000000000001308"
"2025","Streamlining wearable data integration for EHDS: a case study on advancing healthcare interoperability using Garmin devices and FHIR","Frontiers in Digital Health","10.3389/fdgth.2025.1636775"
"2025","Digital Drivers of Autocratisation: The Role of Information Pollution in Polarisation and Democratic Backsliding in Mexico","Journal of Politics in Latin America","10.1177/1866802x251355963"
"2025","Determining patient eligibility for a physical activity referral scheme through EHR data extraction","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03122-4"
"2025","Technology-Enabled Workplace Learning Through Rethinking Electronic Health Records to Support Performance Feedback: Protocol for a Mixed Methods Study","JMIR Research Protocols","10.2196/66824"
"2025","Efficient Detection of Stigmatizing Language in Electronic Health Records via In-Context Learning: Comparative Analysis and Validation Study","JMIR Medical Informatics","10.2196/68955"
"2025","Lower electronic health record adoption and interoperability in rural versus urban physician participants: a cross-sectional analysis from the CMS quality payment program","BMC Health Services Research","10.1186/s12913-024-12168-5"
"2025","Early prediction of vasopressor initiation in ICU sepsis patients using an interpretable EHR-based ML model","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03274-3"
"2025","Clinician-in-the-loop screening saturation: predicting annotation yield for efficient EHR review","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03241-y"
"2025","I-ETL: an interoperability-aware health (meta)data pipeline to enable federated analyses","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03188-0"
"2025","Interoperability Framework for Electronic Health Records (EHR) Systems for the Tanzanian Government Hospitals in Iringa","International Journal of Computer Applications Technology and Research","10.7753/ijcatr1403.1011"
"2025","Data-driven decision making in patient management: a systematic review","BMC Medical Informatics and Decision Making","10.1186/s12911-025-03072-x"
"2025","Reusing data from HL7 CDA-based shared EHR systems for clinical trial conduct: a method for analyzing feasibility","BMC Medical Informatics and Decision Making","10.1186/s12911-025-02980-2"
"2025","AI-Driven decision-making for personalized elderly care: a fuzzy MCDM-based framework for enhancing treatment recommendations","BMC Medical Informatics and Decision Making","10.1186/s12911-025-02953-5"
"2025","A machine learning-based model for predicting paroxysmal and persistent atrial fibrillation based on EHR","BMC Medical Informatics and Decision Making","10.1186/s12911-025-02880-5"
"2025","Enhancing prehospital decision-making: exploring user needs and design considerations for clinical decision support systems","BMC Medical Informatics and Decision Making","10.1186/s12911-024-02844-1"
"2025","Electronic Health Record Data Collection Practices to Advance Standardization and Interoperability of Patient Preferences for Interpretation Services: Qualitative Study","Journal of Medical Internet Research","10.2196/62670"
