"group","file","status","detail","url"
"internacionales","01_Gazzarata_2024_10.1016-j.ijmedinf.2024.105507.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4399360943.pdf"
"internacionales","02_PedreraJimenez_2023_10.2196-48702.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4389062494.pdf"
"internacionales","03_Chatterjee_2022_10.3390-s22103756.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4280498943.pdf"
"internacionales","04_GaudetBlavignac_2021_10.2196-27591.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W3163217846.pdf"
"internacionales","05_MukhiyaLamo_2021_10.1177-14604582211043920.pdf","failed","Response status code does not indicate success: 403 (Forbidden).","https://journals.sagepub.com/doi/pdf/10.1177/14604582211043920"
"internacionales","06_Fernandez_2025_10.3389-fdgth.2025.1622302.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4413297856.pdf"
"nacionales","07_EsparzaMorgan_2025_hdl_20.500.14005-16177.pdf","downloaded","OK 3830.6KB","https://repositorio.usil.edu.pe/bitstreams/2b35d727-6c70-4d91-9146-fd68e1d2570a/download"
"nacionales","08_AriasGeronimo_2025_hdl_20.500.14005-16817.pdf","failed","INVALID 382.7KB","https://repositorio.usil.edu.pe/bitstreams/f7340267-0ba2-4413-b5f9-93e6b3fd3914/download"
"nacionales","09_SanchezCalle_2024_hdl_20.500.12866-17191.pdf","downloaded","OK 591.4KB","https://repositorio.upch.edu.pe/bitstream/handle/20.500.12866/17191/Arquitectura_SanchezCalle_David.pdf?sequence=1&isAllowed=y"
"nacionales","10_FernandezInfanzon_Huarac_2021_hdl_20.500.12640-2139.pdf","failed","INVALID 0.8KB","https://repositorio.esan.edu.pe/bitstreams/f639f09f-537c-4889-ab60-3721b9b47d78/download"
"nacionales","11_Bran_2024_10.3991-ijoe.v20i15.51515.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4405070420.pdf"
"nacionales","12_MoralesCamargo_2023_10.56294-sctconf2023455.pdf","failed","Response status code does not indicate success: 401 (Unauthorized).","https://content.openalex.org/works/W4392830469.pdf"
