"source","file","classified_as","action"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\188141_RM_N_C2_B0_1001-2017-MINSA.PDF20180823-24725-13te2vb.pdf","188141_RM_N_C2_B0_1001-2017-MINSA.PDF20180823-24725-13te2vb.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\189903_RM_214-2017.PDF20180823-24725-1uvsj8m.pdf","189903_RM_214-2017.PDF20180823-24725-1uvsj8m.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\190155_RM_N120-2017-MINSA.pdf20180823-19572-yczdrl.pdf","190155_RM_N120-2017-MINSA.pdf20180823-19572-yczdrl.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\252042_DS024-2005.pdf20190110-18386-1of80fa.pdf","252042_DS024-2005.pdf20190110-18386-1of80fa.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\Resolución_Ministerial_N__1104-2018-MINSA.pdf","Resolución_Ministerial_N__1104-2018-MINSA.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\Resolución_Ministerial_N__464-2019-MINSA.pdf","Resolución_Ministerial_N__464-2019-MINSA.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\normas\resolucion-ministerial-1193-2019-MINSA.pdf","resolucion-ministerial-1193-2019-MINSA.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\download_report_12.csv","download_report_12.csv","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\download_retry_report_12.csv","download_retry_report_12.csv","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\PENDIENTES_DESCARGA_MANUAL.md","PENDIENTES_DESCARGA_MANUAL.md","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\01_Gazzarata_2024_10.1016-j.ijmedinf.2024.105507.pdf","01_Gazzarata_2024_10.1016-j.ijmedinf.2024.105507.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\02_PedreraJimenez_2023_10.2196-48702.pdf","02_PedreraJimenez_2023_10.2196-48702.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\03_Chatterjee_2022_10.3390-s22103756.pdf.pdf","03_Chatterjee_2022_10.3390-s22103756.pdf.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\04_GaudetBlavignac_2021_10.2196-27591.pdf","04_GaudetBlavignac_2021_10.2196-27591.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\05_MukhiyaLamo_2021_10.1177-14604582211043920.pdf","05_MukhiyaLamo_2021_10.1177-14604582211043920.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\internacionales\06_Fernandez_2025_10.3389-fdgth.2025.1622302.pdf","06_Fernandez_2025_10.3389-fdgth.2025.1622302.pdf","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\07_EsparzaMorgan_2025_hdl_20.500.14005-16177.pdf","07_EsparzaMorgan_2025_hdl_20.500.14005-16177.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\08_AriasGeronimo_2025_hdl_20.500.14005-16817.pdf","08_AriasGeronimo_2025_hdl_20.500.14005-16817.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\09_SanchezCalle_2024_hdl_20.500.12866-17191.pdf","09_SanchezCalle_2024_hdl_20.500.12866-17191.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\10_FernandezInfanzon_Huarac_2021_hdl_20.500.12640-2139.pdf","10_FernandezInfanzon_Huarac_2021_hdl_20.500.12640-2139.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\11_Bran_2024_10.3991-ijoe.v20i15.51515.pdf","11_Bran_2024_10.3991-ijoe.v20i15.51515.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\nuevos_12_2026\nacionales\12_MoralesCamargo_2023_10.56294-sctconf2023455.pdf","12_MoralesCamargo_2023_10.56294-sctconf2023455.pdf","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\01_1-s2.0-S1877050923006506-main.txt","01_1-s2.0-S1877050923006506-main.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\02_PIIS2589750023001565.txt","02_PIIS2589750023001565.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\03_s-0043-1768719.txt","03_s-0043-1768719.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\04_qxaf133.txt","04_qxaf133.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\06_ooad001.txt","06_ooad001.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\07_s12911-023-02115-5.txt","07_s12911-023-02115-5.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\08_4_End-to-End Clinical Data Interoperability A Practical Implementation Blueprint Using HL7, FHIR, CCD, and EHR Integration Standards.txt","08_4_End-to-End Clinical Data Interoperability A Practical Implementation Blueprint Using HL7, FHIR, CCD, and EHR Integration Standards.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\09_medinform-2022-7-e35724.txt","09_medinform-2022-7-e35724.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\10_jmir-2024-1-e45209.txt","10_jmir-2024-1-e45209.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\11_formative-2025-1-e51270.txt","11_formative-2025-1-e51270.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\12_medinform-2024-1-e58445.txt","12_medinform-2024-1-e58445.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\13_fdgth-6-1480600.txt","13_fdgth-6-1480600.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\14_healthcare-11-02410.txt","14_healthcare-11-02410.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\15_136_Electronic+Health+Record+Interoperability+System+in+Peru+Using+Blockchain.txt","15_136_Electronic+Health+Record+Interoperability+System+in+Peru+Using+Blockchain.txt","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\16_electronic_health_record_interoperability_using.2.txt","16_electronic_health_record_interoperability_using.2.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\17_03.txt","17_03.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\18_23+Jayathissa+and+Hewapathrana,+pp.+225-241.txt","18_23+Jayathissa+and+Hewapathrana,+pp.+225-241.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\Guía metodológica para la elaboración del proyecto de tesis.txt","Guía metodológica para la elaboración del proyecto de tesis.txt","internacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\OPSEIHISdttkt24220028_spa.txt","OPSEIHISdttkt24220028_spa.txt","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\nacionales\ARRUE PAJARES_VARGAS RIOJA_IMPLEMENTACION_SISTEMA_INFORMACION.txt","ARRUE PAJARES_VARGAS RIOJA_IMPLEMENTACION_SISTEMA_INFORMACION.txt","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\nacionales\Bayona - Radiografía de la Historia Clínica en Perú.txt","Bayona - Radiografía de la Historia Clínica en Perú.txt","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\nacionales\electronic-health-record-interoperability-system-in-peru-4ivc2cczlt.txt","electronic-health-record-interoperability-system-in-peru-4ivc2cczlt.txt","nacionales","copied"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\nacionales\OPSEIHISdttkt24220028_spa.txt","OPSEIHISdttkt24220028_spa.txt","nacionales","skipped_exists"
"E:\Maestria\Seminario_De_Investigacion\Investigación\fuentes\_textos\nacionales\UNFV_FIIS_Porras Gamarra Hernan Johel_Titulo profesional_2024.txt","UNFV_FIIS_Porras Gamarra Hernan Johel_Titulo profesional_2024.txt","nacionales","copied"
